,TWII
2008/9/23,6182.21
2008/9/24,6132.6
2008/9/25,6060.83
2008/9/26,5929.63
2008/9/30,5719.28
2008/10/1,5764.01
2008/10/2,5703.72
2008/10/3,5742.23
2008/10/6,5505.7
2008/10/7,5524.66
2008/10/8,5206.4
2008/10/9,5130.71
2008/10/13,5020.44
2008/10/14,5291.56
2008/10/15,5246.26
2008/10/16,5075.97
2008/10/17,4960.4
2008/10/20,4931.84
2008/10/21,4942.72
2008/10/22,4862.59
2008/10/23,4730.51
2008/10/24,4579.62
2008/10/27,4366.87
2008/10/28,4399.97
2008/10/29,4406.52
2008/10/30,4683.64
2008/10/31,4870.66
2008/11/3,4995.06
2008/11/4,4992.63
2008/11/5,4978.26
2008/11/6,4694.12
2008/11/7,4742.33
2008/11/10,4740.27
2008/11/11,4638.57
2008/11/12,4615.57
2008/11/13,4437.83
2008/11/14,4452.7
2008/11/17,4439.8
2008/11/18,4305.18
2008/11/19,4284.09
2008/11/20,4089.93
2008/11/21,4171.1
2008/11/24,4160.54
2008/11/25,4266.49
2008/11/26,4271.8
2008/11/27,4453.75
2008/11/28,4460.49
2008/12/1,4518.43
2008/12/2,4356.98
2008/12/3,4307.26
2008/12/4,4254.96
2008/12/5,4225.07
2008/12/8,4418.33
2008/12/9,4472.66
2008/12/10,4658.87
2008/12/11,4655.57
2008/12/12,4481.27
2008/12/15,4613.72
2008/12/16,4616.89
2008/12/17,4648.02
2008/12/18,4694.81
2008/12/19,4694.52
2008/12/22,4535.54
2008/12/23,4405.86
2008/12/24,4423.09
2008/12/25,4413.45
2008/12/26,4425.08
2008/12/29,4416.16
2008/12/30,4589.04
2008/12/31,4591.22
2009/1/5,4698.31
2009/1/6,4727.26
2009/1/7,4789.84
2009/1/8,4535.79
2009/1/9,4502.74
2009/1/10,4467.53
2009/1/12,4453.9
2009/1/13,4532.36
2009/1/14,4521.47
2009/1/15,4320.77
2009/1/16,4353.7
2009/1/17,4366.1
2009/1/19,4366.76
2009/1/20,4242.61
2009/1/21,4247.97
2009/2/2,4259.98
2009/2/3,4372.81
2009/2/4,4389.97
2009/2/5,4363.25
2009/2/6,4471.25
2009/2/9,4494.59
2009/2/10,4526.1
2009/2/11,4575.95
2009/2/12,4466.42
2009/2/13,4592.5
2009/2/16,4591.26
2009/2/17,4491.78
2009/2/18,4498.37
2009/2/19,4528.87
2009/2/20,4436.94
2009/2/23,4477.78
2009/2/24,4430.18
2009/2/25,4493.74
2009/2/26,4518.56
2009/2/27,4557.15
2009/3/2,4425.83
2009/3/3,4435.34
2009/3/4,4541.42
2009/3/5,4637.2
2009/3/6,4653.63
2009/3/9,4628.24
2009/3/10,4671.02
2009/3/11,4759.96
2009/3/12,4754.65
2009/3/13,4897.39
2009/3/16,4971.32
2009/3/17,5041.39
2009/3/18,5047.54
2009/3/19,5035.93
2009/3/20,4961.62
2009/3/23,5124.18
2009/3/24,5242.18
2009/3/25,5346.38
2009/3/26,5386.56
2009/3/27,5390.7
2009/3/30,5206.05
2009/3/31,5210.84
2009/4/1,5314.45
2009/4/2,5473.78
2009/4/3,5529.63
2009/4/6,5556.22
2009/4/7,5576.85
2009/4/8,5443.56
2009/4/9,5667.8
2009/4/10,5781.96
2009/4/13,5857.64
2009/4/14,5892.68
2009/4/15,5875.19
2009/4/16,5997.17
2009/4/17,5755.38
2009/4/20,5781.66
2009/4/21,5881.41
2009/4/22,5886.11
2009/4/23,5875.24
2009/4/24,5880.77
2009/4/27,5705.05
2009/4/28,5596.73
2009/4/29,5614.06
2009/4/30,5992.57
2009/5/4,6330.4
2009/5/5,6379.94
2009/5/6,6566.7
